x;y;u;v;column;row
0.0000;0.0000;-0.0015;0.0145;0;0
0.0345;0.0000;0.0342;0.0092;1;0
0.0690;0.0000;0.0694;0.0054;2;0
0.1034;0.0000;0.1043;0.0027;3;0
0.1379;0.0000;0.1388;0.0010;4;0
0.1724;0.0000;0.1731;-0.0001;5;0
0.2069;0.0000;0.2073;-0.0007;6;0
0.2414;0.0000;0.2414;-0.0010;7;0
0.2759;0.0000;0.2755;-0.0011;8;0
0.3103;0.0000;0.3096;-0.0011;9;0
0.3448;0.0000;0.3438;-0.0010;10;0
0.3793;0.0000;0.3780;-0.0010;11;0
0.4138;0.0000;0.4122;-0.0011;12;0
0.4483;0.0000;0.4466;-0.0011;13;0
0.4828;0.0000;0.4810;-0.0012;14;0
0.5172;0.0000;0.5154;-0.0013;15;0
0.5517;0.0000;0.5499;-0.0014;16;0
0.5862;0.0000;0.5844;-0.0013;17;0
0.6207;0.0000;0.6190;-0.0010;18;0
0.6552;0.0000;0.6535;-0.0005;19;0
0.6897;0.0000;0.6880;0.0004;20;0
0.7241;0.0000;0.7225;0.0018;21;0
0.7586;0.0000;0.7570;0.0037;22;0
0.7931;0.0000;0.7915;0.0062;23;0
0.8276;0.0000;0.8259;0.0095;24;0
0.8621;0.0000;0.8604;0.0135;25;0
0.8966;0.0000;0.8949;0.0184;26;0
0.9310;0.0000;0.9294;0.0243;27;0
0.9655;0.0000;0.9641;0.0312;28;0
1.0000;0.0000;0.9990;0.0391;29;0
0.0000;0.0526;-0.0031;0.0677;0;1
0.0345;0.0526;0.0329;0.0624;1;1
0.0690;0.0526;0.0684;0.0586;2;1
0.1034;0.0526;0.1034;0.0560;3;1
0.1379;0.0526;0.1382;0.0543;4;1
0.1724;0.0526;0.1727;0.0532;5;1
0.2069;0.0526;0.2071;0.0527;6;1
0.2414;0.0526;0.2414;0.0524;7;1
0.2759;0.0526;0.2756;0.0524;8;1
0.3103;0.0526;0.3099;0.0524;9;1
0.3448;0.0526;0.3442;0.0525;10;1
0.3793;0.0526;0.3785;0.0525;11;1
0.4138;0.0526;0.4129;0.0525;12;1
0.4483;0.0526;0.4473;0.0525;13;1
0.4828;0.0526;0.4818;0.0523;14;1
0.5172;0.0526;0.5163;0.0522;15;1
0.5517;0.0526;0.5508;0.0521;16;1
0.5862;0.0526;0.5854;0.0522;17;1
0.6207;0.0526;0.6199;0.0523;18;1
0.6552;0.0526;0.6545;0.0527;19;1
0.6897;0.0526;0.6890;0.0534;20;1
0.7241;0.0526;0.7234;0.0545;21;1
0.7586;0.0526;0.7579;0.0561;22;1
0.7931;0.0526;0.7923;0.0582;23;1
0.8276;0.0526;0.8266;0.0609;24;1
0.8621;0.0526;0.8610;0.0643;25;1
0.8966;0.0526;0.8954;0.0685;26;1
0.9310;0.0526;0.9298;0.0735;27;1
0.9655;0.0526;0.9643;0.0793;28;1
1.0000;0.0526;0.9990;0.0861;29;1
0.0000;0.1053;-0.0042;0.1203;0;2
0.0345;0.1053;0.0320;0.1151;1;2
0.0690;0.1053;0.0676;0.1114;2;2
0.1034;0.1053;0.1029;0.1088;3;2
0.1379;0.1053;0.1377;0.1071;4;2
0.1724;0.1053;0.1724;0.1061;5;2
0.2069;0.1053;0.2069;0.1056;6;2
0.2414;0.1053;0.2413;0.1053;7;2
0.2759;0.1053;0.2757;0.1053;8;2
0.3103;0.1053;0.3100;0.1054;9;2
0.3448;0.1053;0.3444;0.1055;10;2
0.3793;0.1053;0.3788;0.1056;11;2
0.4138;0.1053;0.4133;0.1056;12;2
0.4483;0.1053;0.4478;0.1055;13;2
0.4828;0.1053;0.4823;0.1054;14;2
0.5172;0.1053;0.5169;0.1053;15;2
0.5517;0.1053;0.5514;0.1052;16;2
0.5862;0.1053;0.5860;0.1051;17;2
0.6207;0.1053;0.6206;0.1052;18;2
0.6552;0.1053;0.6551;0.1055;19;2
0.6897;0.1053;0.6896;0.1060;20;2
0.7241;0.1053;0.7240;0.1068;21;2
0.7586;0.1053;0.7584;0.1081;22;2
0.7931;0.1053;0.7928;0.1098;23;2
0.8276;0.1053;0.8271;0.1121;24;2
0.8621;0.1053;0.8613;0.1150;25;2
0.8966;0.1053;0.8956;0.1185;26;2
0.9310;0.1053;0.9299;0.1227;27;2
0.9655;0.1053;0.9643;0.1276;28;2
1.0000;0.1053;0.9988;0.1333;29;2
0.0000;0.1579;-0.0049;0.1726;0;3
0.0345;0.1579;0.0314;0.1675;1;3
0.0690;0.1579;0.0672;0.1638;2;3
0.1034;0.1579;0.1025;0.1613;3;3
0.1379;0.1579;0.1375;0.1596;4;3
0.1724;0.1579;0.1722;0.1587;5;3
0.2069;0.1579;0.2068;0.1581;6;3
0.2414;0.1579;0.2413;0.1580;7;3
0.2759;0.1579;0.2757;0.1580;8;3
0.3103;0.1579;0.3102;0.1581;9;3
0.3448;0.1579;0.3446;0.1582;10;3
0.3793;0.1579;0.3790;0.1583;11;3
0.4138;0.1579;0.4135;0.1583;12;3
0.4483;0.1579;0.4481;0.1583;13;3
0.4828;0.1579;0.4826;0.1582;14;3
0.5172;0.1579;0.5172;0.1580;15;3
0.5517;0.1579;0.5518;0.1579;16;3
0.5862;0.1579;0.5864;0.1578;17;3
0.6207;0.1579;0.6209;0.1578;18;3
0.6552;0.1579;0.6554;0.1580;19;3
0.6897;0.1579;0.6899;0.1584;20;3
0.7241;0.1579;0.7244;0.1590;21;3
0.7586;0.1579;0.7587;0.1600;22;3
0.7931;0.1579;0.7930;0.1614;23;3
0.8276;0.1579;0.8273;0.1633;24;3
0.8621;0.1579;0.8615;0.1657;25;3
0.8966;0.1579;0.8957;0.1686;26;3
0.9310;0.1579;0.9299;0.1721;27;3
0.9655;0.1579;0.9642;0.1762;28;3
