x;y;u;v;column;row
0.0000;0.0000;-0.0123;0.0074;0;0
0.0345;0.0000;0.0276;0.0069;1;0
0.0690;0.0000;0.0662;0.0063;2;0
0.1034;0.0000;0.1038;0.0054;3;0
0.1379;0.0000;0.1406;0.0046;4;0
0.1724;0.0000;0.1766;0.0037;5;0
0.2069;0.0000;0.2121;0.0029;6;0
0.2414;0.0000;0.2471;0.0022;7;0
0.2759;0.0000;0.2817;0.0016;8;0
0.3103;0.0000;0.3162;0.0011;9;0
0.3448;0.0000;0.3504;0.0007;10;0
0.3793;0.0000;0.3846;0.0005;11;0
0.4138;0.0000;0.4187;0.0004;12;0
0.4483;0.0000;0.4528;0.0004;13;0
0.4828;0.0000;0.4870;0.0005;14;0
0.5172;0.0000;0.5212;0.0007;15;0
0.5517;0.0000;0.5555;0.0009;16;0
0.5862;0.0000;0.5898;0.0011;17;0
0.6207;0.0000;0.6242;0.0013;18;0
0.6552;0.0000;0.6585;0.0015;19;0
0.6897;0.0000;0.6929;0.0016;20;0
0.7241;0.0000;0.7271;0.0015;21;0
0.7586;0.0000;0.7611;0.0013;22;0
0.7931;0.0000;0.7950;0.0010;23;0
0.8276;0.0000;0.8285;0.0005;24;0
0.8621;0.0000;0.8616;-0.0002;25;0
0.8966;0.0000;0.8942;-0.0011;26;0
0.9310;0.0000;0.9262;-0.0023;27;0
0.9655;0.0000;0.9575;-0.0035;28;0
1.0000;0.0000;0.9879;-0.0050;29;0
0.0000;0.0526;-0.0143;0.0571;0;1
0.0345;0.0526;0.0253;0.0571;1;1
0.0690;0.0526;0.0637;0.0568;2;1
0.1034;0.0526;0.1012;0.0564;3;1
0.1379;0.0526;0.1379;0.0559;4;1
0.1724;0.0526;0.1739;0.0553;5;1
0.2069;0.0526;0.2093;0.0547;6;1
0.2414;0.0526;0.2444;0.0541;7;1
0.2759;0.0526;0.2791;0.0537;8;1
0.3103;0.0526;0.3136;0.0533;9;1
0.3448;0.0526;0.3479;0.0530;10;1
0.3793;0.0526;0.3821;0.0528;11;1
0.4138;0.0526;0.4164;0.0527;12;1
0.4483;0.0526;0.4506;0.0527;13;1
0.4828;0.0526;0.4848;0.0528;14;1
0.5172;0.0526;0.5192;0.0529;15;1
0.5517;0.0526;0.5535;0.0530;16;1
0.5862;0.0526;0.5880;0.0532;17;1
0.6207;0.0526;0.6224;0.0534;18;1
0.6552;0.0526;0.6569;0.0535;19;1
0.6897;0.0526;0.6913;0.0536;20;1
0.7241;0.0526;0.7257;0.0536;21;1
0.7586;0.0526;0.7599;0.0535;22;1
0.7931;0.0526;0.7939;0.0533;23;1
0.8276;0.0526;0.8277;0.0530;24;1
0.8621;0.0526;0.8611;0.0525;25;1
0.8966;0.0526;0.8940;0.0520;26;1
0.9310;0.0526;0.9264;0.0514;27;1
0.9655;0.0526;0.9581;0.0507;28;1
1.0000;0.0526;0.9890;0.0499;29;1
0.0000;0.1053;-0.0153;0.1072;0;2
0.0345;0.1053;0.0241;0.1076;1;2
0.0690;0.1053;0.0623;0.1077;2;2
0.1034;0.1053;0.0997;0.1076;3;2
0.1379;0.1053;0.1362;0.1074;4;2
0.1724;0.1053;0.1722;0.1070;5;2
0.2069;0.1053;0.2076;0.1066;6;2
0.2414;0.1053;0.2426;0.1062;7;2
0.2759;0.1053;0.2774;0.1059;8;2
0.3103;0.1053;0.3119;0.1056;9;2
0.3448;0.1053;0.3463;0.1054;10;2
0.3793;0.1053;0.3806;0.1052;11;2
0.4138;0.1053;0.4149;0.1051;12;2
0.4483;0.1053;0.4492;0.1051;13;2
0.4828;0.1053;0.4835;0.1051;14;2
0.5172;0.1053;0.5179;0.1052;15;2
0.5517;0.1053;0.5523;0.1054;16;2
0.5862;0.1053;0.5868;0.1055;17;2
0.6207;0.1053;0.6214;0.1056;18;2
0.6552;0.1053;0.6559;0.1057;19;2
0.6897;0.1053;0.6904;0.1058;20;2
0.7241;0.1053;0.7249;0.1059;21;2
0.7586;0.1053;0.7593;0.1059;22;2
0.7931;0.1053;0.7934;0.1058;23;2
0.8276;0.1053;0.8274;0.1057;24;2
0.8621;0.1053;0.8610;0.1055;25;2
0.8966;0.1053;0.8942;0.1053;26;2
0.9310;0.1053;0.9269;0.1051;27;2
0.9655;0.1053;0.9590;0.1049;28;2
1.0000;0.1053;0.9904;0.1048;29;2
0.0000;0.1579;-0.0154;0.1578;0;3
0.0345;0.1579;0.0237;0.1585;1;3
0.0690;0.1579;0.0617;0.1590;2;3
0.1034;0.1579;0.0988;0.1591;3;3
0.1379;0.1579;0.1353;0.1591;4;3
0.1724;0.1579;0.1712;0.1590;5;3
0.2069;0.1579;0.2066;0.1587;6;3
0.2414;0.1579;0.2416;0.1585;7;3
0.2759;0.1579;0.2763;0.1583;8;3
0.3103;0.1579;0.3109;0.1580;9;3
0.3448;0.1579;0.3453;0.1579;10;3
0.3793;0.1579;0.3797;0.1577;11;3
0.4138;0.1579;0.4140;0.1577;12;3
0.4483;0.1579;0.4484;0.1576;13;3
0.4828;0.1579;0.4827;0.1576;14;3
0.5172;0.1579;0.5172;0.1577;15;3
0.5517;0.1579;0.5517;0.1578;16;3
0.5862;0.1579;0.5862;0.1579;17;3
0.6207;0.1579;0.6208;0.1580;18;3
0.6552;0.1579;0.6554;0.1581;19;3
0.6897;0.1579;0.6900;0.1582;20;3
0.7241;0.1579;0.7245;0.1583;21;3
0.7586;0.1579;0.7590;0.1584;22;3
0.7931;0.1579;0.7933;0.1584;23;3
0.8276;0.1579;0.8273;0.1585;24;3
0.8621;0.1579;0.8611;0.1586;25;3
0.8966;0.1579;0.8946;0.1587;26;3
